,id,name,time_of_use,inrush_current_protection_disabled,block_rate,electricity_rate_type,block_rate_cycle_reset_energy,last_block_rate_cycle_reset_at,daily_energy_limit,daily_energy_limit_unit,electricity_rate.value,electricity_rate.unit,load_limit.type,load_limit.value,low_balance_threshold.value,low_balance_threshold.currency
0,24a6c8c7-8309-49fe-a13c-78af86c10065,Sheder Host Community,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",False,,flat_rate,,,,kWh,19.000,ETB/kWh,flat,13000,0.00,ETB
1,7e58f541-7f44-4649-98cf-f3f8d04e7e2e,Premium HH Tariff_Zone 3,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",False,,flat_rate,,,,kWh,19.000,ETB/kWh,flat,5000,50.00,ETB
2,bf2aafcf-e3ee-45e3-baba-3ea9e266aeed,Premium HH Tariff_Zone 2,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",False,,flat_rate,,,,kWh,19.000,ETB/kWh,flat,5000,50.00,ETB
3,37783ef6-b053-421d-8453-a942051221b6,Premium HH Tariff_Zone 1,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",False,,flat_rate,,,,kWh,19.000,ETB/kWh,flat,5000,50.00,ETB
4,42336181-4416-4424-a996-67392bed0e31,Sheder Health Center,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",False,,flat_rate,,,,kWh,19.000,ETB/kWh,flat,10000,100.00,ETB
5,6f270469-d4ee-48af-9205-c14319b7e46e,Sheder Street Light,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",False,,flat_rate,,,,kWh,19.000,ETB/kWh,scheduled,"[{'start_time': '06:00', 'load_limit': 0}, {'start_time': '18:00', 'load_limit': 1300}]",50.00,ETB
6,7aeac886-a392-47f4-984e-74329b4b7ea6,PUE HUB_Millers,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",False,,flat_rate,,,,kWh,19.000,ETB/kWh,flat,20000,50.00,ETB
7,c835e0ae-32c6-4c3e-aa16-cba3fecff868,PUE HUB_Shops,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",False,,flat_rate,,,,kWh,19.000,ETB/kWh,flat,5000,50.00,ETB
8,f8a6b215-54e1-4431-8c2c-90093884e654,Null,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",False,,flat_rate,,,,kWh,19.000,ETB/kWh,flat,5000,50.00,ETB
9,12e3f4ff-dea0-474c-8eff-c0779eaa9c6d,Special Customers Zone 1,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",False,,flat_rate,,,,kWh,19.000,ETB/kWh,flat,10000,10.00,ETB
10,01a2e0be-7a4c-4630-b1a9-441723992da3,Small Business Tariff_Zone 3,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",False,,flat_rate,,,,kWh,19.000,ETB/kWh,flat,10000,50.00,ETB
11,81ec6fa4-ad87-4f3e-b1c5-0fcb607319c0,Small Business Tariff_Zone 2,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",False,,flat_rate,,,,kWh,19.000,ETB/kWh,flat,13000,50.00,ETB
12,66b66b15-6217-4519-9722-3e6a51a239d6,Small Business Tariff_Zone 1,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",False,,flat_rate,,,,kWh,19.000,ETB/kWh,flat,10000,50.00,ETB
13,439df054-f98d-4132-98cc-d9503b59fe13,Basic HH Tariff_Zone 3,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",False,,flat_rate,,,,kWh,19.000,ETB/kWh,scheduled,"[{'start_time': '07:00', 'load_limit': 1500}, {'start_time': '21:00', 'load_limit': 2000}]",10.00,ETB
14,77555148-67e8-4e04-85af-6741e6b0754d,Basic HH Tariff_Zone 2,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",False,,flat_rate,,,,kWh,19.000,ETB/kWh,scheduled,"[{'start_time': '07:00', 'load_limit': 1500}, {'start_time': '21:00', 'load_limit': 2000}]",10.00,ETB
15,0f0cc57f-8a31-4f5e-bbbd-ecf7c5f79201,Basic HH Tariff_Zone 1,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",False,,flat_rate,,,,kWh,19.000,ETB/kWh,scheduled,"[{'start_time': '07:00', 'load_limit': 1500}, {'start_time': '21:00', 'load_limit': 2000}]",10.00,ETB
